mm,g
135,0
130,8
128,12
123,14
120,26
118,28
111,34
112,36
103,46
98,52
93,62
88,64
87,70
84,78
78,88
76,90
75,94
66,116
60,130
56,144
50,162
48,168
44,186
43,188
41,200
37,212
36,216
32,234
28,250
27,260
23,280
20,288
19,290
16,304
13,320
10,330
5,348
0,358
