mm,g
150,0
148,30
141,48
137,70
132,104
129,128
121,166
120,170
109,224
107,260
99,310
90,348
88,376
80,406
76,410
72,440
69,450
65,478
62,510
57,520
55,542
50,576
43,608
42,596
36,654
31,648
25,694
