mm,g
78,0
74,22
70,39
69,40
68,42
65,50
64,62
62,76
60,84
59,98
55,118
53,120
49,136
47,150
45,160
43,170
40,186
37,204
35,210
33,228
30,238
28,250
26,264
23,278
22,290
17,312
13,324
10,344
7,376
0,394
